name,artist,charter,grade,category
"The Understanding","The Boneyard","Frif & Hyperbola",17,Variety
Unconsciousness,Jarvis9999,Jarvis9999,17,Variety
"Sounds Like Swings 2",Succy,Succy,17,Tapping
Nebulae,"ArchWk (ft. Various)",ArchWk,17,Consistency
"Egoless [Act 8] (Raked)","Avenge & Hekya","Hekya & Avenge",17,Technicality
"Pop Music","Marc-Andre Hamelin",Hyperbola,17,Chording
"Soldier Side (110% Speed)","System of a Down",nicholasp,17,Strumming
"1994 Solo Medley",Mattias,Mattias,17,Tapping
Typhoon,"Jeff CH ft. Various","Jeff CH",17,Variety
"Interstellar Escape 3",Nari,Nari,17,Variety
"Endless Hallway",Prebensoerensen93,Prebensoerensen93,17,Gimmick
"Bright Caves of Shit",Prebensoerensen93,Prebensoerensen93,17,Chording
"Bike (Standard)",Tanger,Shobas,17,Strumming
"Looking For Edge of Ground feat. Hatsune Miko",Camellia,Jarvis9999,17,Technicality
"Cosmic Embassy (Legacy)",TSMB2,"TSMB2, Mechon, Spanklie",17,Technicality
"3's & 7's (265% Speed)","Queens of the Stone Age",Neversoft,17,Technicality
Supernovae,"ArchWK (ft. Various)","ArchWK, Hyperbolium, Jarvis9999",18,Variety
"Souls of Black Blood (Forced)",Urgehal,Pashow,18,Strumming
"A Three Legged Workhorse (125% Speed)","This Will Destroy You",Vena,18,Strumming
"Twilight of the Thunder God Bass (175% Speed)","Amon Amarth",Neversoft,18,Strumming
"The Holy Mountain Outro 10k (150% Speed)","Slice the Cake",captaintoasty,18,Strumming
"Harsh Poetry (Standard)",Diabarha,HeatherTheHusky,18,Strumming
"Sidney Galop",Sidney600,Sidney600,18,Chording
"Calamity Fortune",LeaF,Jarvis9999,18,Chording
"Hello World vGH","Luoie Zong (vGHed by Jarvis9999)",Jarvis9999,18,Chording
"xxxI_Wud_Nvrst0p_uxxx Remix","100 Gecs (ft. Tommy Cash & Hannah Diamond)",Schmooey,18,Tapping
"Infinite Ammo vGH Uber Remix Overchart","LeCastleVania (vGHed by MetaAXS)","ArchWK & fyighfreak",18,Tapping
"Wiint Schism",Tool,Frif,18,Strumming
"Patterns on the Planet Express 4",Mattias,Mattias,18,Tapping
Colossus,"BlackPawn (ft. Various)",BlackPawn,18,Variety
"White Walls","Between the Buried and Me",fyighfreak,18,Tapping
Deviation,ArchWK,"ArchWK & Jarvis9999",18,Variety
"Egoless [Act 5]","Avenge & Hekya","Hekya & Avenge",18,Variety
"Buried Alive (Standard)","Avenged Sevenfold",Nicholasp,18,Strumming
"Through the Fire and Flames (All Strums)",Dragonforce,Neversoft,18,Technicality
"Phases vGH",VenaCH,VenaCH,18,Variety
"Technical Nightmare","Stelluro (ft. MoldyFunguj)",Stelluro,18,Technicality
"Jenny Wife",Ornej,Ornej,18,Tapping
"After Dark vGH","Original by Mr. Kitty - vGH by ChaosCH",ChaosCH,18,Tapping
"The Devil Went Down to Georgia (All Strums)","Steve Ouimette",Neversoft,18,Technicality
"Sine Anima",Remnant,Remnant,18,Gimmick
"Drunken (Playable)",3,3,18,Tapping
Alskdlmdsakl,Prebensoerensen93,Prebensoerensen93,18,Technicality
"Megitsune (Note Shuffle)",BABYMETAL,"Clone Hero",18,Chording
"Through The Fire And Flames (GH3) (175% Speed)",Dragonforce,Neversoft,18,Variety
"Hypersonic Roller Coaster Venture (Raked)",Sidney600,Sidney600,18,Strumming
"Aurora Borealis",Hyperbolium,Hyperbolium,19,Consistency
Triathlon,Various,Frif,19,Consistency
Xtopia,Schmutz06,Schmutz06,19,Variety
"Mega Wub Wub (125% Speed)",TobeGH3,TobeGH3,19,Technicality
"Void (120% Speed)",Coldworld,Anniahilatron,19,Strumming
"Lawn Wake I","Benn Jordan",Jarvis9999,19,Chording
"The PCPlayerSH Quiz",Various,"MiltankUtters & ArchWK",19,Consistency
"Lean's World",Hyperbola,Hyperbola,19,Variety
"ArchWK's Hell",ArchWK,ArchWK,19,Tapping
"3999 DeadShadows Element - FIRECORE 3: Battle of the Cores","Kallionic (ft.Various)","Kallionic & Pizzachamp",19,Consistency
Geometry,Drowsee,Drowsee,19,Chording
Jeez,VenomWave,VenomWave,19,Tapping
"9 Patterns of Eternal Pain",Colorics,Colorics,19,Tapping
"Egoless [Act 8] (Standard)","Avenge & Hekya","Hekya & Avenge",19,Technicality
"Galaxy In Toybox","Umeboshi Chazuke (ft. Jarvis9999)",Jarvis9999,19,Variety
"Inverted 2 (150% Speed)",XxNicxX11,XxNicxX11,19,Gimmick
"The Ultimate Ultimate Zoidberg Challenge",Schmutz06,"Schmutz06 (EthanGH)",19,Consistency
"Jupiter Space Odyssey 5",Sidney600,Sidney600,19,Consistency
"Daddy, Brother, Lover, Little Boy (The Electric Drill Song)","Mr. Big",Peddy,19,Strumming
"Glacial Storm Uber Solo",SpunkyPlays,SpunkyPlays,19,Tapping
"Unconsciousness (Standard)",Jarvis9999,Jarvis9999,19,Variety
Kepler,"Matt$ (ft. Various)","Matt$ + Mechon",19,Consistency
"Lunar Luminance 3+",SoInhumane,SoInhumane,19,Variety
"Soulless 5 (125% Speed)",Exilelord,Exilelord,19,Consistency
Hydra,F-777,TobeGH3,19,Technicality
ggg,Prebensoerensen93,Prebensoerensen93,19,Gimmick
"Mass Generator",Prebensoerensen93,Prebensoerensen93,19,Variety
"Codes (Standard)",TSMB2,TSMB2,19,Technicality
"8-Bit Death Adventure 2++",Mattias,Mattias,19,Tapping
"Origins - Callagain",XENROX,Peddy,20,Technicality
Megalodon,Jarvis9999,Jarvis9999,20,Variety
"Open Window vGH","MitiS (ft. AnnaYvette) (vGHed by Jarvis9999)",Jarvis9999,20,Technicality
"Victory Solo J (125% Speed)",Schmutz06,Schmutz06,20,Variety
"Dream Theater Discography Solo Medley","Dream Theater",2DHumanity,20,Variety
S/T,"This Will Destroy You",Vena,20,Strumming
Expurgation,JADS,Frif,20,Chording
"Caravan (Drums to Guitar)","Juan Tizol and Duke Ellington","Onyxite (converted to guitar by Jef)",20,Chording
Starmaker,ArchWK,ArchWK,20,Tapping
"Its Really Not as Complicated","Being as an Ocean",Vena,20,Strumming
Explorer,XENROX,"Peddy & jdurandTV",20,Technicality
"Keystone Uber Solo",LeanieGH,LeanieGH,20,Tapping
"The St. Helens Lobotomy Incident",Chibi-Tech,"OrangeHat & iZenPenguin",20,Tapping
"Soulless 5 (Jarvis Overchart)",Exilelord,Jarvis9999,20,Technicality
"Keegan (Ode to Schmooey)",Leanie,Leanie,20,Variety
"Chaos Hell 2",ChaosCH,ChaosCH,20,Tapping
SauuaS.wav,ChaosCH,ChaosCH,20,Variety
Sweet,Prebensoerensen93,Prebensoerensen93,20,Gimmick
IDUNNO,Prebensoerensen93,Prebensoerensen93,20,Gimmick
"Murder Plot vCHAOS (Hard)","Original by KHORDELL - vCHAOS by ChaosCH",ChaosCH,20,Variety
